CLIENTE,MES,ANIO,MONTO,Tipo_Moneda,Tipo_Cambio,,,,,,,,,,,,,,,,,,,,,,
DANA,2,2022," $1,242,893.12 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DANA,3,2022," $1,082,018.73 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DANA,4,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DANA,5,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DANA,6,2022," $28,030.84 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DANA,7,2022," $5,250.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DANA,8,2022," $19,570.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DANA,9,2022," $28,926.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DANA,10,2022," $41,734.31 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DANA,11,2022," $99,661.55 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
DANA,12,2022," $52,435.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
LAMTEC,1,2022," $29,333.33 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
LAMTEC,2,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
LAMTEC,3,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
LAMTEC,4,2022," $91,930.14 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
LAMTEC,5,2022," $361,318.30 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
LAMTEC,6,2022," $385,184.00 ",MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
LAMTEC,7,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
LAMTEC,8,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
LAMTEC,9,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
LAMTEC,10,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
LAMTEC,11,2022,,MXN, $1.00 ,,,,,,,,,,,,,,,,,,,,,,
